Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
0.0	-0.0054466680768637
0.041	-0.0031163612118249
0.082	-0.0066119353939924
0.122	0.0201848852848286
0.162	-0.0007860543467845
0.202	-0.0031163612118249
0.242	-0.0083591530620329
0.282	0.0091164401566313
0.322	-0.010107281806943
0.362	-0.0188447367624488
0.402	0.0009611633212542
0.442	0.0166895388718781
0.482	0.0032914701862946
0.523	0.0073689947193739
0.563	-0.0031163612118249
0.603	-0.0054466680768637
0.644	-0.0083591530620329
0.685	-0.004864717725952
0.725	0.0003780741242559
0.766	0.0201848852848286
0.806	0.0027083809892947
0.846	-0.0054466680768637
0.887	0.0096993015844127
0.927	-0.0124369053643292
0.967	0.0108636578246718
1.007	-0.0013691435437845
1.047	-0.0031163612118249
1.088	0.0009611633212542
1.128	0.403489046316391
1.168	0.522325357895479
1.208	0.60387926509533
1.249	0.655724777708063
1.289	0.725628744967239
1.33	0.777473346503102
1.371	0.816503196319596
1.411	0.859610342899951
1.452	0.868930659283238
1.493	0.92194052813623
1.533	0.965047902485803
1.573	1.0
1.613	0.868348708932327
1.654	0.83514382908617
1.695	0.83164848267322
1.735	0.784463583790567
1.776	0.792036682505814
1.816	0.780968920685269
1.857	0.758832713736527
1.897	0.754755189203446
1.937	0.751842704218279
1.978	0.734366199922745
2.019	0.72155030935729
2.059	0.72155030935729
2.1	0.712229992974003
2.14	0.718637824372121
2.18	0.730288447620449
2.222	0.720385953117031
2.262	0.713395032521913
2.303	0.701744409273587
2.343	0.704074716138626
2.383	0.69591943930325
2.423	0.681356331069755
2.463	0.702327498470585
2.503	0.681356331069755
2.543	0.699414102408547
2.583	0.690093786025259
2.623	0.684268816054923
2.663	0.658055084573101
2.703	0.669122618624429
2.743	0.679026024204715
2.783	0.670287885941558
2.823	0.672036014686468
2.863	0.679026024204715
2.903	0.662714787226309
2.943	0.655724777708063
2.983	0.656307639135844
3.023	0.647569500872685
3.063	0.639996402157439
3.103	0.644657015887516
3.143	0.66038539143814
3.183	0.641743619825478
3.223	0.631841125322062
3.263	0.644657015887516
3.303	0.635336699504229
3.343	0.631841125322062
3.383	0.620772680193864
3.423	0.63125826389428
3.463	0.625433293923944
3.503	0.624851115803815
3.543	0.630676085774152
3.583	0.621355541621646
3.623	0.634753610307231
3.663	0.621355541621646
3.703	0.612035225238359
3.743	0.624851115803815
3.783	0.618443284405695
3.823	0.601549641537943
3.863	0.602131819658073
3.904	0.602131819658073
3.944	0.610870185690448
3.984	0.620190502073736
4.025	0.618443284405695
4.065	0.618443284405695
4.106	0.645822283204645
4.146	0.645822283204645
4.186	0.624268026606815
4.227	0.622520808938774
4.267	0.63941422403731
4.307	0.63941422403731
4.347	0.619608323953607
4.387	0.628928640336894
4.427	0.610287096493448
4.467	0.593976770591913
4.507	0.597472117004863
4.547	0.596889027807865
4.588	0.599801512793033
4.628	0.585821493756537
4.668	0.602131819658073
4.708	0.573587781311211
4.749	0.570093118205914
4.789	0.581160880026458
4.83	0.57591808817625
4.87	0.573005603191083
4.91	0.589899018289617
4.95	0.580578701906329
4.991	0.579413434589201
5.031	0.564850326355706
5.071	0.570675296326042
5.111	0.559607534505498
5.151	0.564267464927924
5.191	0.567179722143875
5.231	0.558442494957588
5.271	0.565432504475834
5.312	0.568344989461003
5.352	0.543296297527092
5.392	0.536306288008846
5.433	0.556112188092547
5.473	0.545044426272002
5.513	0.543879386724092
5.553	0.570093118205914
5.593	0.564850326355706
5.633	0.552034435790251
5.673	0.562520019490667
5.713	0.54679187170926
5.753	0.556112188092547
5.793	0.556112188092547
5.833	0.557859405760588
5.873	0.557277227640459
5.913	0.5491221785743
5.953	0.569510029008915
5.993	0.539218772994013
6.033	0.538053505676884
6.073	0.547373822060172
6.113	0.547956911257172
6.153	0.547373822060172
6.193	0.542131257979182
6.233	0.533393803023676
6.273	0.523490397443389
6.313	0.543296297527092
6.354	0.546208782512262
6.394	0.534558842571587
6.435	0.55494692077542
6.475	0.531645674278766
6.516	0.535723198811846
6.558	0.52582070430843
6.598	0.791454504385685
6.638	0.933009201033644
6.678	0.993009762712535
6.719	1.04310714658036
