Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
0.0	0.0151083730906759
0.041	-0.0044915450074163
0.081	-0.0028583604165684
0.122	0.0020414062319657
0.163	-0.0191912707049966
0.203	-0.0001365280158149
0.244	-0.0023136107596371
0.284	-0.0093915245319393
0.324	0.0129304388428951
0.364	0.0063974876035145
0.404	-0.0055804056933122
0.444	-0.0039474339784532
0.485	-0.0077583399410914
0.525	-0.0132024304945776
0.565	0.0145634105577542
0.606	0.0238192585778371
0.646	0.003130479793849
0.686	0.0014975080789915
0.726	-0.0110253477507555
0.767	0.0004084345171067
0.807	-0.001769499730674
0.847	0.0189192790533141
0.887	0.0053084140416297
0.927	0.0014975080789915
0.967	0.0183743165203924
1.007	-0.0023136107596371
1.047	-0.0077583399410914
1.089	-0.0072135902841601
1.129	0.385871929355656
1.169	0.49094879499045
1.209	0.58840299719601
1.249	0.656458386634377
1.289	0.721790666416055
1.329	0.78657904804476
1.369	0.817612748410715
1.409	0.860078528036615
1.45	0.886756147031019
1.49	0.921600753359612
1.53	0.958622442432027
1.57	1.0
1.61	0.871512310304478
1.65	0.849190346929642
1.69	0.830678650889477
1.73	0.82523477321198
1.77	0.80400188339903
1.811	0.793113063664088
1.852	0.804545994427993
1.892	0.783857215644007
1.932	0.766979342822657
1.972	0.758268457335496
2.013	0.764257297545915
2.054	0.760990502612239
2.094	0.762624325831056
2.134	0.771335211318217
2.174	0.761535252269171
2.214	0.745746453009707
2.254	0.736490604989624
2.294	0.729413542721279
2.334	0.73540174430373
2.375	0.733768559712882
2.415	0.748468498286449
2.455	0.721790666416055
2.496	0.739757612799288
2.537	0.73540174430373
2.578	0.711446809214036
2.618	0.703824784412769
2.658	0.691302141459013
2.699	0.691846891115944
2.739	0.695113898925608
2.779	0.697835944202352
2.819	0.679869210695108
2.86	0.683136005628783
2.9	0.680958071381004
2.94	0.6891248458392
2.98	0.692935964677829
3.02	0.692935964677829
3.061	0.68640216193449
3.101	0.679325099666145
3.141	0.677691276447328
3.181	0.657002284787351
3.222	0.66571423465446
