Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
0.0	0.0161395285762471
0.04	0.0109745902583067
0.08	0.0228537262590558
0.121	0.0166556791154287
0.161	0.0238860273374205
0.201	0.0161395285762471
0.241	0.0078762734654
0.282	-0.0071011793282556
0.322	-0.0024529973599888
0.362	0.0032280914971332
0.402	-0.0086510445036159
0.443	0.0011620757825913
0.483	-0.0262106635509967
0.523	-0.0117493612965225
0.563	-0.0169142996144629
0.604	-0.0179474084401497
0.645	-0.0071011793282556
0.685	-0.0132992264718828
0.726	-0.0071011793282556
0.766	-0.0003869816454469
0.806	-0.0205295746938746
0.847	-0.0029699556464939
0.887	-0.006585028789074
0.928	-0.0045190130745321
0.968	-0.009167195042799
1.008	-0.0231117409475982
1.049	-0.0210457252330563
1.089	-0.0045190130745321
1.129	0.357004254193115
1.169	0.480955504097787
1.209	0.562556965748878
1.251	0.650355262922611
1.291	0.701484860699885
1.331	0.765526097493103
1.371	0.807360341017995
1.411	0.853841958763832
1.451	0.881213890350098
1.491	0.926662601207079
1.531	0.931310783175346
1.571	1.0
1.612	0.865720287017259
1.652	0.838347547683671
1.692	0.80322830958891
1.732	0.787217747969568
1.772	0.785668690541529
1.812	0.782053415462119
1.852	0.76810907149415
1.892	0.766559206318788
1.932	0.766559206318788
1.972	0.758812707557616
2.012	0.742285389588599
2.053	0.744351405303142
2.093	0.73712105708115
2.134	0.71956143803377
2.175	0.745384312191997
2.216	0.734021932540922
2.257	0.711298182922923
2.297	0.707682907843512
2.337	0.713880349176648
2.377	0.695803771842762
2.418	0.694254714414724
2.458	0.703034725875246
2.498	0.697869787557304
2.538	0.697869787557304
2.578	0.690123288796132
2.618	0.683409091113321
2.658	0.698386745843809
2.698	0.670497654034208
2.738	0.667914881969992
2.778	0.672046913399077
2.818	0.676695095367343
2.858	0.665849472065942
2.898	0.687540516731915
2.938	0.659651424922314
2.979	0.659651424922314
3.019	0.634861659589773
3.06	0.668431638319666
3.1	0.668431638319666
3.14	0.669464747145352
3.181	0.637443623906668
3.221	0.637443623906668
3.261	0.647773096668886
3.302	0.651388169811467
3.343	0.65345418552601
3.383	0.638992883271536
3.423	0.651905128097972
3.464	0.646223837304018
3.504	0.625048337366735
3.544	0.648806003557743
3.584	0.61523602482785
3.625	0.638992883271536
3.665	0.629180368795821
3.706	0.624016036288371
3.746	0.619368056256935
3.787	0.622983129399515
3.827	0.618334947431249
3.868	0.62556529565324
3.908	0.610587842859583
3.948	0.614719874288668
3.988	0.627631311367782
4.029	0.613170009113308
4.069	0.606455811430498
4.11	0.598709312669326
4.15	0.593544172414554
4.192	0.603357494637593
4.232	0.61885109797043
4.272	0.630213477621506
4.312	0.636927675304316
4.352	0.620400155398468
4.392	0.61162074974844
4.432	0.612653858574127
4.472	0.624532186827554
4.512	0.606455811430498
4.552	0.630213477621506
4.592	0.628664218256637
4.632	0.606972567780173
4.672	0.597159447493966
4.712	0.597159447493966
4.752	0.597159447493966
4.792	0.593544172414554
4.832	0.603873645176774
4.872	0.602324385811906
4.912	0.572885630763775
4.953	0.586830782479067
4.993	0.587863083557432
5.033	0.581665844161127
5.074	0.57340258905028
5.115	0.588896192383119
5.156	0.596127146415601
5.197	0.575984553367173
5.237	0.585797875590212
5.277	0.562556965748878
5.317	0.559458043145479
5.357	0.580116584796258
5.398	0.584248010414852
5.438	0.595094239526746
5.478	0.581665844161127
5.518	0.575468604764822
5.559	0.586830782479067
5.6	0.574951646478318
5.641	0.586830782479067
5.681	0.585797875590212
5.721	0.583214901589165
5.761	0.574435495939136
5.801	0.581665844161127
5.841	0.574435495939136
5.881	0.568237448795508
5.921	0.572369480224593
5.961	0.564622375652928
6.001	0.558424934319793
6.041	0.564622375652928
6.081	0.578050569081717
6.123	0.568237448795508
6.163	0.567205147717145
6.203	0.561007100573518
6.243	0.561007100573518
6.283	0.542931330986955
6.323	0.544996740891005
6.363	0.562556965748878
6.403	0.544996740891005
6.443	0.556875876891756
6.483	0.554809861177212
6.523	0.56617224082829
6.563	0.541381465811595
6.603	0.563073116288059
6.643	0.565655282541784
6.683	0.547579512955222
6.723	0.540865315272412
6.763	0.550161679208946
6.803	0.558941084858976
6.843	0.540348558922738
6.884	0.552227694923489
6.924	0.549644720922442
6.964	0.56617224082829
7.005	0.557392027430937
7.046	0.548612621780909
7.086	0.544996740891005
7.126	0.530536044447023
7.166	0.547062756605547
7.206	0.554809861177212
7.246	0.544480590351824
7.286	0.529503137558168
7.327	0.546029647779862
7.367	0.531052194986205
7.408	0.526920971304443
7.448	0.527953878193298
7.488	0.541898424098099
7.528	0.533635168987252
7.568	0.532085101875061
7.608	0.551194788034632
7.649	0.542931330986955
7.689	0.525887862478756
7.73	0.530536044447023
7.771	0.528986987018985
7.811	0.525887862478756
7.851	0.539832408383557
7.891	0.536733283843328
7.931	0.539316257844375
7.971	0.521755831049671
8.011	0.523305696225033
8.051	0.529503137558168
8.091	0.508328243431375
8.131	0.520723731908138
8.172	0.542931330986955
8.212	0.51452548282768
8.252	0.513492575938824
8.292	0.515042441114186
8.333	0.521239680510489
8.373	0.507811487081702
8.413	0.522272789336176
8.454	0.521239680510489
8.494	0.53156915327271
8.534	0.502647154574253
8.574	0.515042441114186
8.614	0.505229320827977
8.654	0.508328243431375
8.694	0.501097895209385
8.734	0.517107649081404
8.774	0.509361352257062
8.814	0.492834640098538
8.854	0.50419621200229
8.894	0.519690623082451
8.934	0.516591498542222
8.975	0.497482822066805
9.015	0.517624607367909
9.055	0.527953878193298
9.095	0.516591498542222
9.135	0.497482822066805
9.175	0.507811487081702
9.215	0.50729533654252
9.255	0.500064988320528
9.295	0.495932956891443
9.335	0.496449915177948
9.375	0.499031879494842
9.415	0.497998972605986
9.455	0.494899848065758
9.496	0.487153551241415
9.537	0.495416806352262
9.577	0.498515123145168
9.617	0.503680061463109
9.657	0.502131004035072
9.697	0.480439353558606
9.737	0.508844393970557
9.777	0.50058113885971
9.817	0.492317883748863
9.857	0.502131004035072
9.897	0.49335079063772
9.937	0.499548030034025
9.977	0.503163305113435
10.017	0.509361352257062
10.057	0.479922395272101
10.097	0.497482822066805
10.137	0.477340229018377
10.177	0.490768624383995
10.217	0.487669701780596
10.257	0.490768624383995
10.297	0.502131004035072
10.337	0.489218759208634
10.377	0.484054426701186
10.417	0.477857187304881
10.458	0.479922395272101
10.499	0.494383899463406
10.54	0.508328243431375
10.58	0.503680061463109
10.621	0.490251868034321
10.661	0.478889488383246
10.702	0.490768624383995
10.742	0.498515123145168
10.782	0.487669701780596
10.822	0.497998972605986
10.862	0.487153551241415
10.903	0.487669701780596
10.943	0.487669701780596
10.983	0.479406244732919
11.023	0.479406244732919
11.063	0.484054426701186
11.104	0.484054426701186
11.144	0.484054426701186
11.184	0.485087535526873
11.224	0.464428791939263
11.264	0.475274213303834
11.304	0.475274213303834
11.344	0.472176098447759
11.384	0.464944942478445
11.424	0.481988410986644
11.464	0.485087535526873
11.504	0.477857187304881
11.544	0.461329869335865
11.584	0.461329869335865
11.624	0.855907166731052
