Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
0.0	-0.0009892631402612
0.04	-0.0046328402533336
0.08	-0.0113999777481702
0.12	-0.0113999777481702
0.16	-0.0025505345085098
0.2	-0.0025505345085098
0.24	-0.0025505345085098
0.28	-0.0056738913612198
0.32	0.00369556860975
0.361	0.0115039607415243
0.401	0.0115039607415243
0.442	-0.0056738913612198
0.483	0.0005730258732529
0.523	-0.008276417366406
0.563	-0.0020303142481474
0.604	-0.0009892631402612
0.645	0.0005730258732529
0.685	0.0167088092228452
0.725	0.0078601800993976
0.766	0.0062989087311504
0.806	-0.009317672003345
0.847	-0.0181663011267912
0.887	0.0146273175942342
0.928	-0.0129612491164174
0.969	-0.0041118058767584
1.009	0.0062989087311504
1.049	-0.009317672003345
1.089	0.281141285910195
1.129	0.456040517912647
1.169	0.557544934457488
1.209	0.622091120791654
1.249	0.68976066397853
1.289	0.727239114449567
1.329	0.78241563728371
1.369	0.830305005891707
1.409	0.874030373597218
1.449	0.907344212578606
1.489	0.956274632294489
1.53	0.977616281770669
1.571	1.0
1.611	0.850606214847162
1.651	0.839674465862677
1.691	0.820415122131322
1.731	0.803237270028579
1.771	0.799593489386454
1.811	0.78241563728371
1.851	0.779813111278522
1.891	0.785539197665473
1.932	0.772525957052378
1.973	0.781895417023348
2.013	0.780854365915461
2.053	0.780333331538886
2.093	0.757950427425768
2.134	0.738170049317836
2.174	0.748580967454798
2.215	0.740252355062662
2.256	0.741813829959963
2.296	0.73556752331265
2.336	0.740252355062662
2.376	0.739211303954776
2.416	0.719430925846845
2.456	0.715267128473411
2.496	0.719430925846845
2.536	0.727759334709929
2.576	0.718910705586483
2.616	0.725156808704741
2.656	0.715267128473411
2.696	0.713184822728585
2.736	0.706938516081272
2.776	0.704335379488926
2.816	0.705897464973388
2.856	0.698609293101976
2.896	0.711102516983761
2.936	0.690280884238892
2.977	0.671021540507537
3.017	0.688199392610281
3.058	0.673623862983672
3.099	0.679349949370621
3.139	0.672062591615423
3.18	0.685075832228518
3.22	0.681432255115446
3.26	0.668419014502351
3.3	0.655925790620565
3.34	0.651761179130916
3.38	0.66685692901789
3.421	0.675706372257548
3.461	0.670500506130962
3.501	0.647597381757482
3.541	0.665295454120587
3.581	0.648638636394419
3.621	0.653323468144431
3.662	0.645515076012656
3.702	0.654364519252317
3.742	0.648638636394419
3.783	0.658528316625752
3.823	0.651761179130916
3.864	0.658528316625752
3.905	0.655925790620565
3.945	0.631460784291677
3.985	0.65072012802303
4.025	0.647597381757482
4.066	0.638747938517821
4.106	0.649679687502305
4.147	0.643953804644409
4.188	0.633022055659924
4.228	0.638747938517821
4.268	0.629899309394375
4.308	0.649679687502305
4.348	0.610639151546807
4.388	0.635104361404749
4.428	0.625214477644364
4.469	0.623652392159902
4.509	0.614803763036455
4.549	0.607516405281257
