Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
0.0	0.0125234955603245
0.041	0.0077273106547484
0.081	0.0167862616911047
0.121	-0.0029308548724521
0.161	0.0082598959627109
0.201	0.0013319112583265
0.241	0.0007993259503655
0.281	0.0007993259503655
0.322	-0.0135892287663626
0.362	0.0029311257491739
0.402	0.0103916957615177
0.443	-0.015187609790372
0.483	0.0007993259503655
0.524	-0.0077270397780281
0.564	-0.0082604585528241
0.604	0.0050629255479807
0.644	-0.0071944544700672
0.684	-0.0093256291687474
0.724	-0.0002664697656828
0.764	-0.0029308548724521
0.804	-0.0082604585528241
0.844	0.0007993259503655
0.885	-0.0114574289675543
0.925	0.0055955108559416
0.966	0.0066613065719916
1.006	0.0013319112583265
1.047	0.0109242810694787
1.087	0.0050629255479807
1.127	0.354116752638597
1.167	0.493205489800174
1.207	0.590727985669121
1.247	0.651478758217346
1.287	0.715427959747261
1.327	0.776712151070281
1.367	0.80175887131421
1.407	0.856115077932848
1.447	0.87902999837797
1.487	0.924860672735049
1.527	0.959499762790129
1.567	1.0
1.608	0.873701436531141
1.648	0.822541991960525
1.689	0.809752860101353
1.729	0.788968905988203
1.769	0.785238725165385
1.809	0.795364305384625
1.85	0.793232505585816
1.891	0.780975959034605
1.931	0.773514555555424
1.971	0.759659419613494
2.011	0.751665639193061
2.051	0.734079280594767
2.091	0.729283095689191
2.131	0.737277084476334
2.171	0.74367165040592
2.211	0.737277084476334
2.252	0.725020329558413
2.292	0.699973609314484
2.332	0.727684714665182
2.372	0.713828745256415
2.412	0.70370399850401
2.452	0.705302379528021
2.492	0.711697778924443
2.533	0.698375228290473
2.574	0.693579043384897
2.614	0.696776013799627
2.655	0.674394512129303
2.695	0.688249648071233
2.736	0.695710009716869
2.776	0.69144724358609
2.816	0.67812469295212
2.856	0.67812469295212
2.896	0.695710009716869
2.937	0.665867104567364
2.977	0.661604338436585
3.017	0.666400523342161
3.057	0.673861093354505
3.097	0.673861093354505
3.137	0.65414397679095
3.177	0.665867104567364
3.217	0.666400523342161
3.257	0.666400523342161
3.297	0.663736138235392
3.337	0.656808153531009
3.378	0.658406742921729
3.418	0.658939953329816
3.458	0.6333600226778
3.498	0.660538542720535
3.538	0.649347791885374
3.578	0.649880168826626
3.619	0.660005957412575
3.659	0.647748369027818
3.7	0.628031252464263
3.74	0.640288007382183
3.78	0.617905672245022
3.821	0.623235067558687
3.861	0.631761433287081
3.901	0.630695637571031
3.941	0.639755422074222
3.981	0.631228222878991
4.022	0.611510897948726
4.062	0.610445102232678
4.102	0.617905672245022
4.142	0.624833656949406
4.182	0.614175283055496
4.222	0.634959237168646
4.262	0.609912516924717
4.303	0.615774497546341
4.343	0.618438882653111
4.383	0.60937909814992
4.423	0.612576902031485
4.463	0.613109487339446
4.503	0.612043483256689
4.544	0.599786936705476
4.584	0.581668201165931
4.624	0.579003816059162
4.664	0.603517117528295
4.704	0.605116332019141
4.744	0.59605654751595
4.785	0.598720932622719
4.826	0.601918736504284
4.866	0.608846721208667
4.907	0.597122551598708
4.947	0.583800000964738
4.987	0.590194566894325
5.027	0.591793781385171
5.067	0.586997596479595
5.107	0.59339216240918
5.147	0.587530181787556
5.187	0.580602197083173
5.227	0.595523962207989
5.267	0.576339430952393
5.307	0.587530181787556
5.347	0.598720932622719
5.387	0.592858952001093
5.427	0.575806012177597
5.467	0.589128562811567
5.507	0.590194566894325
5.548	0.577405226668443
5.588	0.582201411574019
5.628	0.585931800763545
5.669	0.592858952001093
5.709	0.584865796680787
5.749	0.574207631153586
5.789	0.564081842567638
5.83	0.567279646449203
5.87	0.576872016260355
5.91	0.572609250129575
5.95	0.582201411574019
5.99	0.574207631153586
6.031	0.565147846650395
6.071	0.544364726004081
6.112	0.568345442165252
6.152	0.55928586602877
6.192	0.558220695412847
6.232	0.573141627070828
6.272	0.57047724196406
6.312	0.581135615857969
6.352	0.549693496217618
6.393	0.552358506424514
6.433	0.550226706625706
6.474	0.558220695412847
6.515	0.554489681123194
6.556	0.563016880318423
6.597	0.548628325601696
6.638	0.549693496217618
6.678	0.549693496217618
6.718	0.538502745382455
6.759	0.53210797108616
6.8	0.548094906826899
6.841	0.544364726004081
6.882	0.548094906826899
6.922	0.555555476839243
6.962	0.544897311312042
7.002	0.534772356192929
7.042	0.552358506424514
7.082	0.549693496217618
7.124	0.548094906826899
7.164	0.555022891531282
